model,accuracy,time
Ada_Boost_Classifier,81.49,260
Ada_Boost_Classifier,78.11,261
Ada_Boost_Classifier,95.3,262
Ada_Boost_Classifier,78.11,263
Ada_Boost_Classifier,81.49,264
Ada_Boost_Classifier,81.49,265
Ada_Boost_Classifier,81.49,266
Ada_Boost_Classifier,74.27,267
Ada_Boost_Classifier,78.11,268
Ada_Boost_Classifier,84.48,269
Ada_Boost_Classifier,93.0,270
Ada_Boost_Classifier,74.27,271
Ada_Boost_Classifier,81.49,272
Ada_Boost_Classifier,81.49,273
Ada_Boost_Classifier,84.48,274
Ada_Boost_Classifier,74.27,275
Ada_Boost_Classifier,81.49,276
Ada_Boost_Classifier,74.27,277
Ada_Boost_Classifier,84.48,278
Ada_Boost_Classifier,81.49,279
Ada_Boost_Classifier,74.27,280
Ada_Boost_Classifier,93.0,281
Ada_Boost_Classifier,78.11,282
Ada_Boost_Classifier,81.49,283
Ada_Boost_Classifier,84.48,284
Ada_Boost_Classifier,81.49,285
Ada_Boost_Classifier,93.0,286
Ada_Boost_Classifier,81.5,287
Ada_Boost_Classifier,78.11,288
Ada_Boost_Classifier,74.27,289
Ada_Boost_Classifier,81.49,290
Ada_Boost_Classifier,81.49,291
Ada_Boost_Classifier,84.48,292
Ada_Boost_Classifier,84.48,293
Ada_Boost_Classifier,84.48,294
Ada_Boost_Classifier,74.27,295
Ada_Boost_Classifier,81.5,296
Ada_Boost_Classifier,93.0,297
Ada_Boost_Classifier,95.3,298
Ada_Boost_Classifier,81.49,299
Ada_Boost_Classifier,81.49,300
Ada_Boost_Classifier,84.48,301
Ada_Boost_Classifier,84.48,302
Ada_Boost_Classifier,81.49,303
Ada_Boost_Classifier,81.49,304
Ada_Boost_Classifier,84.48,305
Ada_Boost_Classifier,84.48,306
Ada_Boost_Classifier,84.48,307
Ada_Boost_Classifier,84.48,308
Ada_Boost_Classifier,81.49,309
Ada_Boost_Classifier,81.49,310
Ada_Boost_Classifier,93.0,311
Ada_Boost_Classifier,74.27,312
Ada_Boost_Classifier,81.49,313
Ada_Boost_Classifier,78.11,314
Ada_Boost_Classifier,81.5,315
Ada_Boost_Classifier,78.11,316
Ada_Boost_Classifier,95.3,317
Ada_Boost_Classifier,81.5,318
Ada_Boost_Classifier,84.48,319
Ada_Boost_Classifier,81.49,320
Ada_Boost_Classifier,81.49,321
Ada_Boost_Classifier,84.48,322
Ada_Boost_Classifier,74.27,323
Ada_Boost_Classifier,95.3,324
Ada_Boost_Classifier,84.48,325
Ada_Boost_Classifier,84.48,326
Ada_Boost_Classifier,84.48,327
Ada_Boost_Classifier,81.49,328
Ada_Boost_Classifier,74.27,329
Ada_Boost_Classifier,91.49,330
Ada_Boost_Classifier,74.27,331
Ada_Boost_Classifier,81.49,332
Ada_Boost_Classifier,95.3,333
Ada_Boost_Classifier,78.11,334
Ada_Boost_Classifier,81.49,335
Ada_Boost_Classifier,81.49,336
Ada_Boost_Classifier,81.49,337
Ada_Boost_Classifier,91.49,338
Ada_Boost_Classifier,81.49,339
Ada_Boost_Classifier,93.0,340
Ada_Boost_Classifier,84.48,341
Ada_Boost_Classifier,74.27,342
Ada_Boost_Classifier,84.48,343
Ada_Boost_Classifier,74.27,344
Ada_Boost_Classifier,81.49,345
Ada_Boost_Classifier,81.49,346
Ada_Boost_Classifier,84.48,347
Ada_Boost_Classifier,81.49,348
Ada_Boost_Classifier,93.0,349
Ada_Boost_Classifier,94.25,350
Ada_Boost_Classifier,81.49,351
Ada_Boost_Classifier,94.32,352
Ada_Boost_Classifier,84.48,353
Ada_Boost_Classifier,84.48,354
Ada_Boost_Classifier,81.49,355
Ada_Boost_Classifier,81.49,356
Ada_Boost_Classifier,74.27,357
Ada_Boost_Classifier,91.49,358
Ada_Boost_Classifier,84.48,359
Ada_Boost_Classifier,81.49,360
Ada_Boost_Classifier,81.49,361
Ada_Boost_Classifier,95.3,362
Ada_Boost_Classifier,84.48,363
Ada_Boost_Classifier,81.49,364
Ada_Boost_Classifier,78.11,365
Ada_Boost_Classifier,78.11,366
Ada_Boost_Classifier,93.0,367
Ada_Boost_Classifier,81.5,368
Ada_Boost_Classifier,84.48,369
Ada_Boost_Classifier,81.49,370
Ada_Boost_Classifier,91.49,371
Ada_Boost_Classifier,74.27,372
Ada_Boost_Classifier,78.11,373
Ada_Boost_Classifier,81.5,374
Ada_Boost_Classifier,91.49,375
Ada_Boost_Classifier,91.49,376
Ada_Boost_Classifier,93.0,377
Ada_Boost_Classifier,81.49,378
Ada_Boost_Classifier,93.0,379
Ada_Boost_Classifier,84.48,380
Ada_Boost_Classifier,84.48,381
Ada_Boost_Classifier,78.11,382
Ada_Boost_Classifier,74.27,383
Ada_Boost_Classifier,93.0,384
